,Max Iter,Alpha,Num Node 1,Num Node 2,Accuracy
519,1000,0.001,1,15,0.703
520,1000,0.001,3,1,0.703
521,1000,0.001,3,3,0.703
522,1000,0.001,3,5,0.703
523,1000,0.001,3,7,0.703
524,1000,0.001,3,9,0.703
525,1000,0.001,3,11,0.703
526,1000,0.001,3,13,0.703
527,1000,0.001,3,15,0.703
528,1000,0.001,5,1,0.703
529,1000,0.001,5,3,0.703
530,1000,0.001,5,5,0.703
531,1000,0.001,5,7,0.703
532,1000,0.001,5,9,0.703
533,1000,0.001,5,11,0.703
534,1000,0.001,5,13,0.703
535,1000,0.001,5,15,0.703
536,1000,0.001,7,1,0.703
537,1000,0.001,7,3,0.703
538,1000,0.001,7,5,0.703
539,1000,0.001,7,7,0.703
540,1000,0.001,7,9,0.703
541,1000,0.001,7,11,0.703
542,1000,0.001,7,13,0.703
543,1000,0.001,7,15,0.703
544,1000,0.001,9,1,0.703
545,1000,0.001,9,3,0.703
546,1000,0.001,9,5,0.703
547,1000,0.001,9,7,0.703
548,1000,0.001,9,9,0.703
549,1000,0.001,9,11,0.703
550,1000,0.001,9,13,0.703
551,1000,0.001,9,15,0.703
552,1000,0.001,11,1,0.703
553,1000,0.001,11,3,0.703
554,1000,0.001,11,5,0.703
555,1000,0.001,11,7,0.703
556,1000,0.001,11,9,0.703
557,1000,0.001,11,11,0.703
558,1000,0.001,11,13,0.703
559,1000,0.001,11,15,0.703
560,1000,0.001,13,1,0.703
561,1000,0.001,13,3,0.703
562,1000,0.001,13,5,0.703
563,1000,0.001,13,7,0.703
564,1000,0.001,13,9,0.703
565,1000,0.001,13,11,0.703
566,1000,0.001,13,13,0.703
567,1000,0.001,13,15,0.703
568,1000,0.001,15,1,0.703
569,1000,0.001,15,3,0.703
570,1000,0.001,15,5,0.703
571,1000,0.001,15,7,0.703
572,1000,0.001,15,9,0.703
573,1000,0.001,15,11,0.703
574,1000,0.001,15,13,0.703
575,1000,0.001,15,15,0.703
576,1000,0.0001,1,1,0.142
577,1000,0.0001,1,3,0.359
578,1000,0.0001,1,5,0.388
579,1000,0.0001,1,7,0.252
580,1000,0.0001,1,9,0.584
581,1000,0.0001,1,11,0.362
582,1000,0.0001,1,13,0.423
583,1000,0.0001,1,15,0.467
584,1000,0.0001,3,1,0.46
585,1000,0.0001,3,3,0.19
586,1000,0.0001,3,5,0.328
587,1000,0.0001,3,7,0.373
588,1000,0.0001,3,9,0.385
589,1000,0.0001,3,11,0.591
590,1000,0.0001,3,13,0.522
591,1000,0.0001,3,15,0.393
592,1000,0.0001,5,1,0.18
593,1000,0.0001,5,3,0.474
594,1000,0.0001,5,5,0.358
595,1000,0.0001,5,7,0.351
596,1000,0.0001,5,9,0.458
597,1000,0.0001,5,11,0.455
598,1000,0.0001,5,13,0.195
599,1000,0.0001,5,15,0.52
600,1000,0.0001,7,1,0.246
601,1000,0.0001,7,3,0.242
602,1000,0.0001,7,5,0.542
603,1000,0.0001,7,7,0.292
604,1000,0.0001,7,9,0.407
605,1000,0.0001,7,11,0.423
606,1000,0.0001,7,13,0.391
607,1000,0.0001,7,15,0.607
608,1000,0.0001,9,1,0.254
609,1000,0.0001,9,3,0.453
610,1000,0.0001,9,5,0.412
611,1000,0.0001,9,7,0.452
612,1000,0.0001,9,9,0.372
613,1000,0.0001,9,11,0.391
614,1000,0.0001,9,13,0.516
615,1000,0.0001,9,15,0.32
616,1000,0.0001,11,1,0.348
617,1000,0.0001,11,3,0.47
618,1000,0.0001,11,5,0.469
619,1000,0.0001,11,7,0.492
620,1000,0.0001,11,9,0.29
621,1000,0.0001,11,11,0.281
622,1000,0.0001,11,13,0.297
623,1000,0.0001,11,15,0.472
624,1000,0.0001,13,1,0.455
625,1000,0.0001,13,3,0.36
626,1000,0.0001,13,5,0.391
627,1000,0.0001,13,7,0.503
628,1000,0.0001,13,9,0.324
629,1000,0.0001,13,11,0.505
630,1000,0.0001,13,13,0.57
631,1000,0.0001,13,15,0.541
632,1000,0.0001,15,1,0.305
633,1000,0.0001,15,3,0.192
634,1000,0.0001,15,5,0.339
635,1000,0.0001,15,7,0.254
636,1000,0.0001,15,9,0.524
637,1000,0.0001,15,11,0.57
638,1000,0.0001,15,13,0.389
639,1000,0.0001,15,15,0.492
640,1000,1e-05,1,1,0.308
641,1000,1e-05,1,3,0.254
642,1000,1e-05,1,5,0.139
643,1000,1e-05,1,7,0.339
644,1000,1e-05,1,9,0.192
645,1000,1e-05,1,11,0.421
646,1000,1e-05,1,13,0.195
647,1000,1e-05,1,15,0.207
648,1000,1e-05,3,1,0.328
649,1000,1e-05,3,3,0.209
650,1000,1e-05,3,5,0.391
651,1000,1e-05,3,7,0.174
652,1000,1e-05,3,9,0.206
653,1000,1e-05,3,11,0.334
654,1000,1e-05,3,13,0.277
655,1000,1e-05,3,15,0.242
656,1000,1e-05,5,1,0.407
657,1000,1e-05,5,3,0.294
658,1000,1e-05,5,5,0.228
659,1000,1e-05,5,7,0.181
660,1000,1e-05,5,9,0.352
661,1000,1e-05,5,11,0.381
662,1000,1e-05,5,13,0.301
663,1000,1e-05,5,15,0.127
664,1000,1e-05,7,1,0.288
665,1000,1e-05,7,3,0.297
666,1000,1e-05,7,5,0.244
667,1000,1e-05,7,7,0.274
668,1000,1e-05,7,9,0.29
669,1000,1e-05,7,11,0.159
670,1000,1e-05,7,13,0.341
671,1000,1e-05,7,15,0.156
672,1000,1e-05,9,1,0.472
673,1000,1e-05,9,3,0.231
674,1000,1e-05,9,5,0.176
675,1000,1e-05,9,7,0.24
676,1000,1e-05,9,9,0.18
677,1000,1e-05,9,11,0.276
678,1000,1e-05,9,13,0.278
679,1000,1e-05,9,15,0.249
680,1000,1e-05,11,1,0.344
681,1000,1e-05,11,3,0.192
682,1000,1e-05,11,5,0.226
683,1000,1e-05,11,7,0.252
684,1000,1e-05,11,9,0.144
685,1000,1e-05,11,11,0.263
686,1000,1e-05,11,13,0.137
687,1000,1e-05,11,15,0.146
688,1000,1e-05,13,1,0.224
689,1000,1e-05,13,3,0.123
690,1000,1e-05,13,5,0.18
691,1000,1e-05,13,7,0.122
692,1000,1e-05,13,9,0.238
693,1000,1e-05,13,11,0.356
694,1000,1e-05,13,13,0.177
695,1000,1e-05,13,15,0.324
696,1000,1e-05,15,1,0.234
697,1000,1e-05,15,3,0.297
698,1000,1e-05,15,5,0.228
699,1000,1e-05,15,7,0.57
700,1000,1e-05,15,9,0.21
701,1000,1e-05,15,11,0.17
702,1000,1e-05,15,13,0.141
703,1000,1e-05,15,15,0.23
704,1000,1e-07,1,1,0.251
705,1000,1e-07,1,3,0.313
706,1000,1e-07,1,5,0.408
707,1000,1e-07,1,7,0.208
708,1000,1e-07,1,9,0.227
709,1000,1e-07,1,11,0.174
